Detector Coordinates (mm)
       X       Y       Z
   -1735   -2120     450
   -2845   -2120     450
    2150   -2120    -125
    1595   -2120    -125
    1040   -2120    -125
     485   -2120    -125
     -70   -2120    -125
    -625   -2120    -125
   -1180   -2120    -125
   -1735   -2120    -125
   -2845   -2120    -125
    2150   -2120    -700
    1595   -2120    -700
    1040   -2120    -700
     485   -2120    -700
     -70   -2120    -700
    -625   -2120    -700
   -1180   -2120    -700
   -1735   -2120    -700
   -2845   -2120    -700
    2150   -2120   -1275
    1595   -2120   -1275
    1040   -2120   -1275
     485   -2120   -1275
     -70   -2120   -1275
    -625   -2120   -1275
   -1180   -2120   -1275
   -1735   -2120   -1275
   -2845   -2120   -1275
    2150   -2700    1600
    1595   -2700    1600
    1040   -2700    1600
     485   -2700    1600
     -70   -2700    1600
    -625   -2700    1600
   -1180   -2700    1600
   -1735   -2700    1600
   -2845   -2700    1600
    2150   -2700    1025
    1595   -2700    1025
    1040   -2700    1025
     485   -2700    1025
     -70   -2700    1025
    -625   -2700    1025
   -1180   -2700    1025
   -1735   -2700    1025
   -2845   -2700    1025
    2150   -2700     450
    1595   -2700     450
    1040   -2700     450
     485   -2700     450
     -70   -2700     450
    -625   -2700     450
   -1180   -2700     450
   -1735   -2700     450
   -2845   -2700     450
    2150   -2700    -125
    1595   -2700    -125
    1040   -2700    -125
     485   -2700    -125
     -70   -2700    -125
    -625   -2700    -125
   -1180   -2700    -125
   -1735   -2700    -125
   -2845   -2700    -125
    2150   -2700    -700
    1595   -2700    -700
    1040   -2700    -700
     485   -2700    -700
     -70   -2700    -700
    -625   -2700    -700
   -1180   -2700    -700
   -1735   -2700    -700
   -2845   -2700    -700
    2150   -2700   -1275
    1595   -2700   -1275
    1040   -2700   -1275
     485   -2700   -1275
     -70   -2700   -1275
    -625   -2700   -1275
   -1180   -2700   -1275
   -1735   -2700   -1275
   -2845   -2700   -1275
    2150   -3200    1600
    1595   -3200    1600
    1040   -3200    1600
     485   -3200    1600
     -70   -3200    1600
    -625   -3200    1600
   -1180   -3200    1600
   -1735   -3200    1600
   -2845   -3200    1600
    2150   -3200    1025
    1595   -3200    1025
    1040   -3200    1025
     485   -3200    1025
     -70   -3200    1025
    -625   -3200    1025
   -1180   -3200    1025
   -1735   -3200    1025
   -2845   -3200    1025
    2150   -3200     450
    1595   -3200     450
    1040   -3200     450
     485   -3200     450
     -70   -3200     450
    -625   -3200     450
   -1180   -3200     450
   -1735   -3200     450
   -2845   -3200     450
    2150   -3200    -125
    1595   -3200    -125
    1040   -3200    -125
     485   -3200    -125
     -70   -3200    -125
    -625   -3200    -125
   -1180   -3200    -125
   -1735   -3200    -125
   -2845   -3200    -125
    2150   -3200    -700
    1595   -3200    -700
    1040   -3200    -700
     485   -3200    -700
     -70   -3200    -700
    -625   -3200    -700
   -1180   -3200    -700
   -1735   -3200    -700
   -2845   -3200    -700
    2150   -3200   -1275
    1595   -3200   -1275
    1040   -3200   -1275
     485   -3200   -1275
     -70   -3200   -1275
    -625   -3200   -1275
   -1180   -3200   -1275
   -1735   -3200   -1275
   -2845   -3200   -1275
    4650    3100    2200
    3650    3100    2200
    2650    3100    2200
    1650    3100    2200
     650    3100    2200
    -350    3100    2200
   -1350    3100    2200
   -2350    3100    2200
   -3350    3100    2200
    4650    2040    2200
    3650    2040    2200
    2650    2040    2200
    1650    2040    2200
     650    2040    2200
    -350    2040    2200
   -1350    2040    2200
   -2350    2040    2200
   -3350    2040    2200
    4650     980    2200
    3650     980    2200
    2650     980    2200
    1650     980    2200
     650     980    2200
    -350     980    2200
   -1350     980    2200
   -2350     980    2200
